School;Bestuur;Straatnaam;Plaats; m3 uit ; m3 in ; Materieel 
Kernschool ;Zaanprimair;Wibautstraat 73;Zaandam; 14,00 ; 15,50 ;Mobiel
Gouw;Zaanprimair;Noorderven 6;Zaandam; 16,00 ; 17,00 ;Mobiel
Het Eiland ;Zaanprimair;P.A. Van Meverstraat 1;Zaandam; 9,00 ; 10,00 ;Kraan
De Komeet Onderbouw;Zaanprimair;Neptunuslaan 1;Krommenie; 18,00 ; 18,00 ;Mobiel
Theo Thijssen;Zaanprimair;Amfibieplein 41, 1525 PA;West Knollendam; 4,00 ; 5,00 ;Mobiel
De Mei;Zaanprimair;Voltastraat 15A;Wormerveer; 7,00 ; 5,00 ;Mobiel
Delta;Zaanprimair;Beemdgras 40, 1567 HP;Assendelft; 3,00 ; 4,00 ;Mobiel
De Spiegel;Zaanprimair;Gibraltar 2, 1503 BM;Zaandam; 5,00 ; 5,00 ;Knijper
Voorzaan Vissershop;Zaanprimair;Lindenlaan 2;Zaandam; 6,00 ; 7,00 ;Knijper
De Kroosduiker Noord;Zaanprimair;Torenstraat 5;Westzaan; 5,00 ; 6,00 ;Kraan
De Jagersplas;Zaanprimair;Brasemermeer 23b;Zaandam; 3,00 ; 3,00 ;Kraan
Delta;Zaanprimair;Kreekrijklaan 2, 1567 LP;Assendelft; 5,00 ; 5,00 ;Knikmops
De Meander;Zaanprimair;Parkrijklaan 121D;Assendelft; 5,00 ; 6,00 ;Knikmops
De Dorpsakker Noord;Zaanprimair;Brandakkerstraat 4;Assendelft; 3,00 ; 2,50 ;Knikmops
De Pionier;Zaanprimair;Kerkstraat 52;Wormerveer; 6,00 ; 6,00 ;Knikmops
Dynamica G&SB;Zaanprimair;De Zevenster 46, 1521 JS;Wormerveer; ? ; ? ;Knijper
Kogerveld;Zaanprimair;Perzikkruidweg 4;Zaandam; 3,00 ; 2,50 ;Knikmops
Herman Gorter Onderbouw;Zaanprimair;Burgemeester Smitstraat 2A;Zaandam; 5,00 ; 6,00 ;Knikmops
Et Buut - Overtuinen;Zaanprimair;Anna de Waalstraat 17;Zaandam; 35,00 ; 40,00 ;Mobiel
ICBS De Vuurvogel;Agora;Eemmeer 15B;Zaandam; 10,00 ; 10,00 ;?
Wij-land Westzaan;Agora;J.J. Allanstraat 149;Westzaan; 7,00 ; 7,00 ;Kraan
De Regenboog Assendelft;Agora;Brandakkerstraat 8;Assendelft; 5,00 ; 5,00 ;Kraan
Hoeksteen;Agora;Rosariumpark 182;Krommenie; -   ; 5,00 ;?
Kleurenpracht ;Agora;Klipperstraat 2-4;Zaandam; 6,00 ; 6,00 ;Kraan
Tamarinde;Agora;Schaarsven 2a;Zaandam; ? ; ? ;?
Wormerwieken;Agora;De Balk 2a;Wormer; 10,00 ; 10,00 ;Kraan
de Piramide;Agora;Boschjesstraat 60;Koog aan de Zaan; 3,00 ; 8,00 ;Kraan
CBS de Evenaar;Agora;Jupiterstraat 139;Krommenie; 4,00 ; 4,00 ;?
De Golfbreker;Agora;Papiermolen 18;Koog aan de Zaan; 2,00 ; 5,00 ;Kraan
De Korenaar ;Agora;Dokter de Boerstraat 42 ;Oostzaan; -   ; 10,00 ;Mobiel
Het Baken;Agora;P.A van Meverstraat 9;Zaandam; 10,00 ; 10,00 ;Kraan
Het SchatRijk;Agora;Rooswijkplein 10;Zaandijk; 20,00 ; 40,00 ;Kraan
De Bijenkorf;Agora;Saenredamstraat 36;Assendelft; 9,00 ; 9,00 ;Mobiel
het koraal ;Agora;Beemdgras 5 ;Assendelft; 6,00 ; 6,00 ;?
het koraal;Agora;Kreekrijklaan 2, 1567 LP;Assendelft; 6,00 ; 6,00 ;Kraan
Windroos;Agora;Galeistraat  2;Zaandam; -   ; 3,00 ;?
Zaanplein;Agora;L.T. Roggeplein 1;Zaandam; -   ; 20,00 ;Kraan
Rietvink;Agora;P.A. van Meverstraat 3;Zaandam; -   ; 12,00 ;Kraan
Tijstroom;Agora;Rode Zee 69;Zaandam; 40,00 ; 40,00 ;Kraan
Paus Joannes;Agora;De Weer 25;Zaandam; 25,00 ; 25,00 ;Mobiel
